tenant_id,request_idx,ttft_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,e2e_ms,num_output_tokens,start_time
tenant_A,126,121.53,16.72,12.6,44.53,48.52,2244.64,128,1781910105.197
tenant_A,375,114.77,23.86,13.53,53.65,56.08,3144.58,128,1781910230.269
tenant_A,420,107.48,19.78,12.97,50.78,54.57,2619.0,128,1781910255.231
tenant_A,27,66.4,16.42,12.78,46.04,48.46,2151.67,128,1781910053.66
tenant_A,70,74.62,17.94,12.72,47.25,75.82,2352.41,128,1781910078.166
tenant_A,625,120.56,18.6,12.9,48.87,92.88,2482.14,128,1781910357.749
tenant_A,1010,111.61,19.82,13.4,49.76,82.3,2628.89,128,1781910541.059
tenant_A,1106,66.03,19.93,12.87,53.53,90.65,2596.87,128,1781910599.387
tenant_A,1126,102.58,19.98,12.97,51.71,89.81,2639.9,128,1781910612.301
tenant_A,264,170.52,21.91,13.83,51.89,94.59,2953.72,128,1781910171.459
tenant_A,419,78.58,20.95,12.97,51.26,78.0,2739.05,128,1781910254.429
tenant_A,424,99.23,18.32,12.97,49.99,82.33,2426.46,128,1781910257.179
tenant_A,671,74.53,17.79,12.62,47.97,49.63,2334.24,128,1781910376.405
tenant_A,1096,185.21,17.45,12.74,47.74,55.1,2402.01,128,1781910592.128
tenant_A,360,183.86,20.65,13.34,51.29,84.25,2806.95,128,1781910221.467
tenant_A,541,179.9,21.29,12.97,53.0,91.75,2883.93,128,1781910310.634
tenant_A,640,141.89,20.49,12.86,52.6,92.81,2743.83,128,1781910362.538
tenant_A,687,89.28,19.19,12.25,47.62,87.59,2526.92,128,1781910384.33
tenant_A,127,70.04,14.51,12.36,42.78,44.72,1913.16,128,1781910106.684
tenant_A,737,82.49,18.3,12.7,47.53,52.75,2406.83,128,1781910412.181
tenant_A,1053,84.16,19.96,12.83,52.43,91.74,2619.71,128,1781910564.263
tenant_A,1114,76.03,19.27,12.74,47.98,53.16,2523.35,128,1781910604.724
tenant_A,37,67.62,21.47,13.16,50.25,113.12,2794.81,128,1781910061.104
tenant_A,218,71.64,20.66,13.18,51.63,93.36,2695.45,128,1781910153.986
tenant_A,312,147.03,20.93,12.99,51.96,91.16,2804.82,128,1781910194.086
tenant_A,388,212.64,33.62,16.25,104.71,146.7,4482.51,128,1781910235.618
tenant_A,508,101.53,25.01,14.5,80.23,101.14,3277.73,128,1781910295.328
tenant_A,663,203.56,19.36,13.43,51.15,54.25,2662.15,128,1781910371.711
tenant_A,944,123.73,17.59,13.42,47.97,80.05,2358.24,128,1781910508.375
tenant_A,1100,105.92,17.26,12.66,45.94,77.06,2297.36,128,1781910596.275
tenant_A,915,67.88,16.59,12.14,44.93,48.09,2174.23,128,1781910496.306
tenant_A,145,79.67,21.26,13.15,51.39,92.49,2779.12,128,1781910113.231
tenant_A,210,265.2,19.71,13.55,50.44,52.65,2768.39,128,1781910149.977
tenant_A,621,70.61,15.23,12.07,43.89,46.03,2004.95,128,1781910350.288
tenant_A,649,81.08,20.03,12.98,51.74,92.19,2624.27,128,1781910365.201
tenant_A,898,111.65,19.03,13.71,50.02,92.68,2527.93,128,1781910485.868
tenant_A,909,86.87,17.76,12.75,48.64,53.25,2342.59,128,1781910493.288
tenant_A,1118,86.12,20.1,12.87,51.99,81.46,2639.02,128,1781910607.072
tenant_A,1169,101.37,21.81,13.44,53.31,91.98,2870.88,128,1781910635.001
tenant_A,269,127.94,23.27,13.45,54.43,93.08,3082.93,128,1781910174.538
tenant_A,295,68.66,16.31,12.53,46.29,53.11,2139.77,128,1781910184.769
tenant_A,370,175.94,23.73,13.99,52.47,94.75,3190.04,128,1781910227.512
tenant_A,489,78.09,20.73,13.63,53.11,96.53,2711.15,128,1781910288.121
tenant_A,636,88.26,20.81,12.97,50.37,81.35,2730.97,128,1781910360.309
tenant_A,670,68.71,15.74,12.35,45.0,71.17,2067.61,128,1781910375.185
tenant_A,815,79.6,20.38,13.03,51.96,80.85,2668.29,128,1781910448.806
tenant_A,306,76.66,22.04,13.26,52.37,119.99,2875.66,128,1781910190.688
tenant_A,369,72.34,22.67,13.83,52.31,94.82,2951.32,128,1781910226.892
tenant_A,396,69.06,20.26,12.83,48.96,53.93,2642.7,128,1781910241.814
tenant_A,459,67.2,19.87,12.89,49.81,91.4,2590.43,128,1781910277.248
tenant_A,536,134.64,20.37,13.25,51.72,97.39,2721.32,128,1781910307.776
tenant_A,653,145.74,19.09,13.01,51.31,78.29,2570.03,128,1781910366.728
tenant_A,726,92.25,18.7,12.69,47.73,49.28,2466.85,128,1781910406.274
tenant_A,859,165.26,20.51,13.72,51.71,54.06,2769.87,128,1781910465.141
tenant_A,921,64.77,19.82,12.73,48.67,89.86,2582.07,128,1781910498.416
tenant_A,316,156.35,27.44,14.16,80.21,99.58,3640.95,128,1781910197.39
tenant_A,431,115.31,20.19,13.2,52.39,93.71,2679.14,128,1781910262.055
tenant_A,949,69.59,18.0,12.08,46.89,86.64,2356.07,128,1781910511.405
tenant_A,55,114.24,20.24,13.76,49.5,95.16,2684.85,128,1781910070.365
tenant_A,297,112.84,15.03,12.26,44.13,45.41,2021.84,128,1781910185.75
tenant_A,379,76.02,34.24,15.61,96.04,103.45,4423.92,128,1781910232.308
tenant_A,499,73.89,26.1,13.87,94.17,124.61,3388.44,128,1781910292.44
tenant_A,624,73.46,21.29,12.82,86.85,92.83,2776.84,128,1781910357.047
tenant_A,680,116.1,21.78,13.69,51.35,101.42,2881.81,128,1781910380.403
tenant_A,928,83.85,22.36,13.36,51.67,93.16,2924.0,128,1781910502.07
tenant_A,1097,179.46,17.45,12.74,47.74,55.1,2396.24,128,1781910592.133
tenant_A,32,75.96,20.1,13.18,52.22,84.42,2628.61,128,1781910058.458
tenant_A,140,99.62,22.15,13.08,79.39,93.35,2912.6,128,1781910112.011
tenant_A,416,101.58,19.96,12.9,51.26,89.58,2636.49,128,1781910253.8
tenant_A,619,70.61,16.08,12.0,44.46,74.02,2113.37,128,1781910349.812
tenant_A,644,66.32,21.99,12.89,52.56,93.8,2858.92,128,1781910363.78
tenant_A,652,96.23,21.23,13.06,51.58,96.43,2792.76,128,1781910365.968
tenant_A,867,69.94,18.02,12.0,47.88,117.4,2358.43,128,1781910470.534
tenant_A,953,93.31,22.57,12.89,52.97,95.07,2959.68,128,1781910513.237
tenant_A,1062,80.34,16.09,12.52,46.19,53.22,2123.73,128,1781910571.331
tenant_A,299,73.98,16.16,12.07,44.96,46.61,2126.4,128,1781910186.686
tenant_A,505,151.53,27.58,14.52,94.45,136.6,3654.61,128,1781910294.582
tenant_A,629,112.14,19.89,13.04,50.68,92.91,2638.76,128,1781910358.753
tenant_A,866,71.5,14.93,12.0,43.79,69.6,1967.72,128,1781910470.262
tenant_A,960,81.78,24.54,14.23,55.32,123.79,3198.35,128,1781910516.617
tenant_A,1078,80.67,20.75,13.07,51.55,53.5,2716.27,128,1781910583.982
tenant_A,1103,74.77,16.7,12.62,45.19,47.64,2195.65,128,1781910597.663
tenant_A,46,78.48,17.33,12.78,47.45,52.71,2279.08,128,1781910065.819
tenant_A,111,122.69,15.89,12.84,44.7,51.0,2141.16,128,1781910095.235
tenant_A,143,71.78,21.31,13.14,51.81,92.72,2777.63,128,1781910112.983
tenant_A,422,77.75,20.23,13.03,51.16,82.31,2647.24,128,1781910256.583
tenant_A,498,116.07,24.5,13.83,93.38,124.61,3228.21,128,1781910292.215
tenant_A,647,71.84,21.61,12.96,53.07,93.81,2816.29,128,1781910364.371
tenant_A,843,142.79,25.42,14.18,93.75,96.33,3371.28,128,1781910459.295
tenant_A,935,201.74,20.1,13.23,50.21,52.45,2755.02,128,1781910504.537
tenant_A,1095,68.76,19.6,12.91,48.57,82.05,2558.35,128,1781910591.652
tenant_A,124,140.54,16.68,12.63,44.9,78.52,2259.06,128,1781910103.838
tenant_A,209,187.04,20.67,13.55,51.14,80.5,2811.89,128,1781910149.909
tenant_A,380,74.39,35.87,15.61,96.39,137.43,4630.4,128,1781910232.496
tenant_A,628,115.85,19.89,13.04,50.68,92.91,2642.47,128,1781910358.749
tenant_A,630,126.41,19.57,13.04,49.7,92.82,2611.73,128,1781910358.805
tenant_A,743,66.29,17.62,12.61,47.24,49.76,2304.66,128,1781910414.174
tenant_A,807,288.02,22.05,13.97,51.37,97.86,3088.55,128,1781910445.735
tenant_A,911,107.81,17.79,12.77,48.62,53.26,2367.64,128,1781910494.032
tenant_A,926,133.06,22.65,13.36,51.65,93.22,3009.01,128,1781910501.945
tenant_A,137,76.07,21.36,12.92,53.98,92.64,2788.99,128,1781910111.245
tenant_A,161,79.21,18.95,12.51,49.63,91.36,2485.71,128,1781910121.556
tenant_A,427,71.3,18.98,12.89,48.68,90.76,2482.06,128,1781910258.021
tenant_A,675,67.92,24.64,13.19,52.69,124.48,3197.19,128,1781910379.055
tenant_A,842,117.05,26.35,14.2,93.73,96.33,3464.03,128,1781910459.095
tenant_A,905,68.45,16.82,12.1,47.85,49.2,2204.54,128,1781910491.47
tenant_A,1001,146.66,19.01,12.74,46.99,78.52,2560.51,128,1781910536.673
tenant_A,226,78.05,33.08,15.07,100.74,144.62,4279.31,128,1781910157.121
tenant_A,257,106.58,22.55,13.98,51.66,95.95,2970.49,128,1781910170.636
tenant_A,460,66.74,20.47,12.89,50.19,91.3,2667.01,128,1781910277.344
tenant_A,518,81.19,26.42,14.05,92.23,174.4,3436.24,128,1781910299.061
tenant_A,735,67.28,15.41,12.36,43.86,48.11,2024.11,128,1781910410.357
tenant_A,963,192.09,23.25,14.2,51.94,123.72,3144.25,128,1781910516.944
tenant_A,1111,98.55,18.29,12.99,49.15,51.84,2420.77,128,1781910603.438
tenant_A,849,132.42,25.52,14.14,93.42,96.64,3373.69,128,1781910460.893
tenant_A,412,81.89,18.61,13.06,49.47,51.53,2445.61,128,1781910251.8
tenant_A,442,70.69,20.97,12.84,52.87,90.3,2733.31,128,1781910271.241
tenant_A,493,159.54,23.14,13.58,55.54,94.22,3098.06,128,1781910289.302
tenant_A,685,68.01,17.07,12.33,46.6,48.2,2235.39,128,1781910383.811
tenant_A,823,80.41,28.43,15.16,95.65,142.19,3691.62,128,1781910452.371
tenant_A,895,128.88,23.14,13.81,54.48,95.17,3068.27,128,1781910485.032
tenant_A,129,74.78,17.79,12.47,46.18,78.63,2333.96,128,1781910108.694
tenant_A,134,106.54,19.35,12.66,48.74,80.24,2564.52,128,1781910109.584
tenant_A,523,184.51,19.36,12.91,52.78,82.74,2642.61,128,1781910302.032
tenant_A,740,65.14,18.22,12.6,48.18,52.9,2378.49,128,1781910413.535
tenant_A,802,148.75,25.66,14.0,92.53,127.51,3408.09,128,1781910445.033
tenant_A,912,68.84,17.19,12.75,48.42,53.27,2251.9,128,1781910494.265
tenant_A,965,122.92,22.23,14.19,51.68,84.75,2946.21,128,1781910517.304
tenant_A,1116,66.27,17.75,12.72,47.09,50.05,2320.81,128,1781910605.325
tenant_A,71,111.05,23.2,12.86,52.11,92.34,3057.1,128,1781910079.022
tenant_A,100,76.53,22.28,13.31,51.85,82.16,2905.67,128,1781910091.165
tenant_A,440,79.74,16.69,12.69,46.87,76.35,2199.99,128,1781910269.287
tenant_A,617,78.69,15.95,12.77,47.08,49.42,2104.28,128,1781910347.544
tenant_A,1101,67.73,15.41,12.63,44.58,47.64,2024.87,128,1781910596.748
tenant_A,1168,120.49,22.36,13.27,53.32,92.03,2959.91,128,1781910634.142
tenant_A,68,75.25,17.07,12.8,48.44,53.28,2243.31,128,1781910076.805
tenant_A,107,116.82,18.67,13.24,50.46,82.86,2487.45,128,1781910094.06
tenant_A,395,83.74,18.46,12.81,47.42,52.37,2428.0,128,1781910241.184
tenant_A,455,97.76,19.98,12.86,48.81,89.3,2635.0,128,1781910276.252
tenant_A,738,81.09,18.1,12.71,47.68,52.74,2380.35,128,1781910412.427
tenant_A,918,143.24,16.36,12.41,45.11,47.64,2221.0,128,1781910497.21
tenant_A,235,112.73,22.46,13.81,52.86,128.26,2965.71,128,1781910160.849
tenant_A,292,72.01,17.2,12.66,46.44,53.11,2256.85,128,1781910184.039
tenant_A,634,76.27,19.83,12.86,49.29,53.83,2594.56,128,1781910359.912
tenant_A,696,70.07,23.02,13.82,51.83,94.85,2993.9,128,1781910387.454
tenant_A,858,129.5,20.5,13.72,51.71,53.94,2732.71,128,1781910465.124
tenant_A,1059,102.13,20.03,13.14,49.81,120.43,2645.71,128,1781910569.124
tenant_A,1117,110.65,19.59,12.83,51.09,81.45,2598.78,128,1781910606.238
tenant_A,706,163.57,20.27,13.76,51.63,56.56,2737.5,128,1781910392.089
tenant_A,150,121.78,19.35,12.84,50.73,85.87,2579.79,128,1781910115.409
tenant_A,229,280.89,25.48,14.95,55.78,100.82,3516.52,128,1781910158.222
tenant_A,267,68.39,21.2,13.12,52.61,92.24,2760.64,128,1781910173.183
tenant_A,281,80.79,18.22,12.72,48.93,77.85,2394.4,128,1781910179.932
tenant_A,452,80.68,19.59,13.14,51.88,81.86,2568.43,128,1781910273.285
tenant_A,525,171.84,18.03,12.87,50.14,54.08,2462.06,128,1781910302.298
tenant_A,659,79.51,21.94,13.05,51.67,90.97,2866.49,128,1781910368.743
tenant_A,734,160.05,15.42,12.38,43.86,48.11,2118.56,128,1781910410.193
tenant_A,844,175.02,25.05,14.15,93.74,96.33,3355.93,128,1781910459.481
