tenant_id,request_idx,ttft_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,e2e_ms,num_output_tokens,start_time
tenant_A,476,23446.73,119.15,34.09,364.78,385.41,38579.16,128,1782137884.51
tenant_A,1043,54469.6,118.11,32.56,365.8,368.34,69468.99,128,1782138023.08
tenant_A,137,3821.32,121.43,75.61,344.04,366.75,19243.03,128,1782137799.107
tenant_A,1292,68405.1,118.75,32.69,366.0,367.42,83486.6,128,1782138094.251
tenant_A,1898,107947.11,116.52,32.45,364.92,366.11,122745.8,128,1782138242.942
tenant_A,2224,126871.35,116.57,32.61,364.52,370.01,141676.08,128,1782138330.635
tenant_A,771,40253.73,119.44,32.98,367.2,369.99,55422.35,128,1782137956.592
tenant_A,1302,68126.96,118.73,32.49,364.97,367.59,83205.57,128,1782138095.256
tenant_A,2202,127100.77,116.59,32.62,364.38,368.81,141907.7,128,1782138323.504
tenant_A,142,4230.96,122.28,75.71,343.77,366.98,19760.06,128,1782137799.671
tenant_A,73,445.12,127.89,76.93,361.29,373.15,16687.52,128,1782137783.245
tenant_A,861,45029.08,120.38,32.32,366.36,369.38,60317.4,128,1782137976.845
tenant_A,2201,127411.64,116.59,32.61,364.07,368.72,142218.25,128,1782138323.193
tenant_A,210,7118.28,120.81,70.95,361.36,367.83,22461.07,128,1782137818.517
tenant_A,1085,56577.15,116.29,32.57,366.32,373.03,71346.14,128,1782138036.707
tenant_A,1618,91673.1,117.48,32.38,365.01,371.83,106593.09,128,1782138177.916
tenant_A,1778,95805.96,117.42,32.47,364.83,374.23,110718.09,128,1782138215.495
tenant_A,783,40441.99,119.34,33.54,367.24,369.43,55598.44,128,1782137960.815
tenant_A,772,40611.61,120.78,33.25,367.21,369.94,55950.31,128,1782137956.622
tenant_A,1782,95725.95,117.46,32.42,364.42,374.42,110643.04,128,1782138216.297
tenant_A,130,3355.33,124.1,75.54,344.01,366.99,19116.31,128,1782137797.907
tenant_A,1247,65983.23,119.27,32.46,365.64,369.88,81130.58,128,1782138081.522
tenant_A,1246,66074.0,119.27,32.53,365.61,369.87,81221.37,128,1782138081.43
tenant_A,1296,68354.25,118.72,32.74,365.44,367.51,83432.27,128,1782138094.669
tenant_A,1796,99306.13,116.6,32.81,364.77,371.41,114113.98,128,1782138219.284
tenant_A,844,44596.34,120.38,32.32,366.81,368.89,59884.81,128,1782137973.641
tenant_A,1944,111005.48,117.39,32.29,364.7,366.23,125914.44,128,1782138256.141
tenant_A,1783,95617.71,117.46,32.52,364.9,374.39,110534.73,128,1782138216.406
tenant_A,2181,123176.58,139.2,32.54,365.34,367.08,140855.52,128,1782138318.676
tenant_A,478,23304.07,119.16,34.1,364.78,382.46,38436.97,128,1782137884.652
tenant_A,1030,55017.95,122.33,32.49,365.48,366.59,70554.31,128,1782138020.054
tenant_A,1068,53004.13,120.48,32.4,367.25,371.34,68305.43,128,1782138033.157
tenant_A,781,40586.43,119.45,33.57,367.35,369.36,55756.57,128,1782137960.305
tenant_A,1289,68441.51,118.72,32.6,365.71,367.66,83518.51,128,1782138093.126
tenant_A,1350,72352.51,119.9,32.43,366.22,367.88,87580.38,128,1782138105.024
tenant_A,2054,117196.91,117.53,32.21,364.74,367.74,132123.74,128,1782138281.844
tenant_A,2158,123000.19,117.53,32.27,364.84,366.34,137926.32,128,1782138312.313
tenant_A,2203,127407.08,116.6,32.66,364.31,368.77,142215.33,128,1782138323.561
tenant_A,131,3533.09,123.28,75.35,344.25,367.38,19190.18,128,1782137797.926
tenant_A,481,23231.43,119.23,34.17,365.02,385.98,38373.34,128,1782137885.812
tenant_A,1290,68478.36,118.74,32.71,365.79,367.65,83558.86,128,1782138093.45
tenant_A,1938,107449.27,116.46,32.34,364.98,367.67,122239.3,128,1782138253.968
tenant_A,2229,126708.49,151.52,32.27,365.71,371.73,145951.36,128,1782138331.689
tenant_A,659,35383.91,120.46,33.69,365.54,368.47,50682.29,128,1782137928.159
tenant_A,1036,54642.42,117.56,32.5,365.48,367.81,69572.08,128,1782138021.516
tenant_A,1937,107188.08,116.46,32.34,365.03,367.56,121979.06,128,1782138253.869
tenant_A,2129,119342.93,116.54,32.65,365.2,367.48,134143.08,128,1782138304.073
tenant_A,2146,122551.23,117.49,32.29,364.93,366.43,137472.16,128,1782138309.861
tenant_A,2214,127222.36,116.57,32.68,364.8,370.81,142027.35,128,1782138326.657
tenant_A,69,757.45,119.62,76.51,336.15,366.02,15949.13,128,1782137782.044
tenant_A,857,44692.22,120.41,32.32,366.86,369.61,59984.12,128,1782137976.09
tenant_A,386,17600.28,120.9,39.54,366.81,369.9,32955.09,128,1782137860.742
tenant_A,314,12165.88,121.34,34.33,366.4,372.17,27575.64,128,1782137841.439
tenant_A,1009,51923.39,119.54,33.09,365.32,366.79,67104.52,128,1782138013.97
tenant_A,1087,56735.46,116.24,32.6,366.43,373.02,71497.37,128,1782138036.918
tenant_A,1306,68449.67,118.72,32.6,365.34,367.57,83527.57,128,1782138095.3
tenant_A,2245,130928.76,117.41,32.16,365.43,367.4,145840.25,128,1782138334.849
tenant_A,1329,71123.42,117.29,32.31,365.9,368.01,86019.04,128,1782138102.342
tenant_A,1768,96079.15,117.39,32.52,365.71,374.7,110988.27,128,1782138213.776
tenant_A,1777,95933.68,117.42,32.46,364.61,374.25,110845.88,128,1782138215.368
tenant_A,2240,130767.6,117.39,32.22,365.03,367.73,145676.4,128,1782138333.92
tenant_A,778,40466.86,119.15,32.95,367.44,369.6,55599.22,128,1782137959.074
tenant_A,1901,107945.23,116.64,32.46,365.08,368.05,122758.07,128,1782138243.299
tenant_A,134,3504.12,122.57,73.76,344.25,367.26,19070.34,128,1782137798.276
tenant_A,1362,72037.01,119.91,32.2,366.21,368.08,87266.05,128,1782138108.615
tenant_A,1049,54341.17,118.09,32.47,365.91,368.49,69339.07,128,1782138025.026
tenant_A,1100,55999.19,118.7,32.61,366.33,370.19,71074.14,128,1782138042.197
tenant_A,1936,107305.2,116.46,32.34,365.09,367.54,122096.01,128,1782138253.752
tenant_A,141,3986.45,121.35,75.46,343.69,366.56,19397.89,128,1782137799.597
tenant_A,1365,72040.86,119.91,32.18,365.9,367.42,87269.66,128,1782138109.701
tenant_A,1903,108242.59,116.64,32.45,365.46,368.23,123055.93,128,1782138243.73
tenant_A,2106,119681.69,116.5,32.63,364.8,367.5,134477.07,128,1782138299.019
tenant_A,144,4465.77,119.11,75.54,341.19,363.77,19593.28,128,1782137800.011
tenant_A,1331,71363.23,117.28,32.32,365.98,367.93,86258.29,128,1782138102.462
tenant_A,1624,91942.06,117.51,32.4,365.31,368.02,106865.6,128,1782138179.101
tenant_A,2031,113884.53,116.59,32.43,365.28,371.32,128690.88,128,1782138276.89
tenant_A,2047,113205.94,149.17,32.34,365.61,402.44,132150.58,128,1782138280.477
tenant_A,145,4368.62,119.11,75.5,341.0,365.67,19496.09,128,1782137800.107
tenant_A,321,13316.05,122.02,40.61,367.91,371.3,28812.31,128,1782137843.978
tenant_A,629,32318.5,120.6,32.8,365.25,368.1,47634.94,128,1782137923.147
tenant_A,2230,130791.97,120.28,32.25,365.36,368.05,146067.32,128,1782138331.721
tenant_A,2241,130931.52,117.41,32.18,365.48,367.97,145842.84,128,1782138334.484
tenant_A,1088,56651.9,116.23,32.6,365.84,372.66,71413.49,128,1782138036.999
tenant_A,1357,72182.7,119.9,32.26,366.16,367.8,87410.52,128,1782138107.013
tenant_A,2046,113466.83,144.33,32.34,365.43,402.13,131796.57,128,1782138280.216
tenant_A,1335,71647.2,117.27,32.28,366.17,367.98,86540.19,128,1782138102.91
tenant_A,1507,82237.17,118.22,32.68,366.14,369.58,97251.58,128,1782138149.154
tenant_A,1792,99164.36,116.55,32.92,364.75,384.28,113966.42,128,1782138218.701
tenant_A,2044,113516.66,116.53,32.47,364.59,371.6,128315.54,128,1782138280.166
tenant_A,133,3548.38,122.23,73.39,343.91,366.76,19071.33,128,1782137798.154
tenant_A,486,23499.95,119.25,34.1,365.07,385.9,38644.6,128,1782137886.994
tenant_A,1249,65778.92,119.31,32.45,366.06,370.09,80930.78,128,1782138082.089
tenant_A,2210,127040.75,116.56,32.72,364.77,370.14,141843.79,128,1782138326.114
tenant_A,1097,56981.6,118.67,32.67,366.25,368.5,72052.64,128,1782138040.125
tenant_A,242,9987.22,122.11,67.24,364.01,370.76,25494.64,128,1782137825.33
tenant_A,1314,68029.72,118.72,32.58,365.08,366.92,83107.79,128,1782138097.539
tenant_A,1330,71074.89,117.28,32.34,365.98,367.81,85969.99,128,1782138102.388
tenant_A,1524,86266.34,117.26,32.45,366.05,369.27,101158.96,128,1782138153.972
tenant_A,1684,95202.1,116.4,32.9,365.72,371.0,109985.02,128,1782138193.319
tenant_A,312,12108.56,122.68,34.63,366.28,371.02,27689.06,128,1782137840.635
tenant_A,1337,71759.21,117.18,32.28,365.15,367.98,86641.31,128,1782138103.165
tenant_A,1699,94748.34,116.42,32.82,364.92,369.14,109533.33,128,1782138196.318
tenant_A,850,44564.88,120.36,32.39,366.87,368.92,59851.03,128,1782137974.405
tenant_A,1253,65862.73,119.32,32.44,365.94,370.04,81016.92,128,1782138083.456
tenant_A,2136,119191.43,116.53,32.7,365.21,367.42,133990.74,128,1782138305.312
tenant_A,75,1558.09,121.13,75.94,353.57,366.04,16941.28,128,1782137783.437
tenant_A,2134,119298.73,116.54,32.71,365.12,367.45,134098.95,128,1782138304.48
tenant_A,488,23532.22,119.21,34.17,365.07,385.66,38672.26,128,1782137887.327
tenant_A,1506,82256.79,118.22,32.55,366.27,369.66,97271.03,128,1782138149.133
tenant_A,1336,71507.14,117.26,32.27,366.06,367.93,86399.62,128,1782138103.05
tenant_A,2110,119455.36,116.49,32.67,364.58,367.12,134249.94,128,1782138299.97
tenant_A,2211,126982.37,116.56,32.58,364.78,370.13,141785.48,128,1782138326.173
tenant_A,1773,95654.39,117.39,32.47,364.67,374.76,110562.86,128,1782138214.927
tenant_A,872,47369.64,117.23,33.11,365.04,369.34,62257.34,128,1782137981.086
tenant_A,1089,56613.41,116.31,32.57,366.3,372.85,71384.52,128,1782138038.121
tenant_A,1789,95305.82,149.64,32.99,365.79,407.91,114309.68,128,1782138217.812
tenant_A,1943,111145.32,117.36,32.24,364.52,367.23,126050.04,128,1782138255.275
tenant_A,1703,94282.91,116.43,32.82,364.97,369.14,109069.31,128,1782138197.147
tenant_A,2251,130727.23,117.33,32.15,364.72,366.36,145628.71,128,1782138336.879
tenant_A,149,4156.93,120.67,75.5,340.89,365.37,19481.8,128,1782137800.816
tenant_A,2253,130421.83,117.41,32.21,364.98,367.23,145333.28,128,1782138337.538
tenant_A,483,23263.81,119.23,34.1,365.09,385.68,38406.2,128,1782137886.504
tenant_A,1905,107841.68,116.61,32.48,365.37,368.05,122651.01,128,1782138244.491
tenant_A,1716,94255.08,116.4,33.09,365.01,371.26,109037.95,128,1782138201.172
tenant_A,2255,130413.79,117.41,32.23,365.0,366.99,145325.2,128,1782138337.908
tenant_A,785,39978.11,119.39,33.38,366.96,368.42,55140.06,128,1782137962.365
tenant_A,1074,53035.07,137.85,32.82,367.75,378.22,70542.04,128,1782138034.58
tenant_A,1900,107957.98,116.64,32.53,364.73,368.09,122771.0,128,1782138243.287
tenant_A,1577,89289.22,116.66,32.8,367.18,372.37,104104.86,128,1782138167.298
tenant_A,1697,94651.91,116.43,33.08,365.09,369.07,109438.1,128,1782138196.049
tenant_A,2248,130746.19,117.42,32.19,365.53,367.74,145658.34,128,1782138335.395
tenant_A,70,630.45,123.58,76.87,353.57,365.92,16325.46,128,1782137782.526
