request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
0,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1010,506090,1782183931948436,1782183932023002,1782183933603455,130,ok,,length,41d5a09a-ca49-465f-b154-c44c840b7925
1,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,987,786326,1782183932228696,1782183932289964,1782183933846697,130,ok,,length,3edb559f-e947-4d85-8de2-fe7a84922531
2,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,885704,1782183932328230,1782183932390586,1782183933915620,130,ok,,length,7da10cf9-729e-4691-8f8a-eea261caa5a5
3,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1000,1002478,1782183932444260,1782183932511738,1782183934006150,130,ok,,length,8587c695-dd00-414f-908d-1425037e2dd8
4,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,977,2056155,1782183933498439,1782183933568050,1782183935009981,130,ok,,length,784945bb-a759-47d2-926d-4f19039f1d87
5,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1011,3643043,1782183935085245,1782183935135173,1782183936664480,130,ok,,length,a67a4e62-b6a5-4657-b3a1-93b3d0f3927d
6,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,989,4549953,1782183935991972,1782183936055476,1782183937570752,130,ok,,length,09fc76d7-08cf-4411-a0d6-2c707f2333ae
7,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,4850747,1782183936293014,1782183936358230,1782183937843540,130,ok,,length,ff6415b5-9250-43fe-bab6-7d53f50a0dab
8,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,5067994,1782183936510061,1782183936571601,1782183938023743,130,ok,,length,87273a46-3cb3-414e-bd66-d24bdb8feef0
9,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,951,7651408,1782183939093080,1782183939147317,1782183940836357,130,ok,,length,3f9a3146-5a30-47dc-8baf-404ddc85f7c6
10,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,986,7862316,1782183939304699,1782183939368781,1782183941067010,130,ok,,length,69ba9d5a-db36-49b9-9355-2770fc1ee158
11,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,7898902,1782183939341305,1782183939423648,1782183941090526,130,ok,,length,ad46914c-00c5-4032-b52a-c9eba9c1a04e
12,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,994,7951590,1782183939393999,1782183939477979,1782183941113785,130,ok,,length,6dc6ae46-e029-47bb-bad5-c72498e4f705
13,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,967,8602183,1782183940043782,1782183940107514,1782183941720972,130,ok,,length,eb83047e-f5fd-4c69-b62d-8e311076b589
14,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,964,8634676,1782183940077175,1782183940160870,1782183941743816,130,ok,,length,cc8cc76a-dc08-4af5-bb26-0b89d399a9c9
15,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,963,9038209,1782183940479845,1782183940542056,1782183942087545,130,ok,,length,ac39a18e-bc8f-417a-9138-7c496bf826d5
16,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1009,9186351,1782183940628119,1782183940692945,1782183942201983,130,ok,,length,0f9e7911-2aa7-4317-a32f-a0c06cf323a6
17,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,964,9563003,1782183941004550,1782183941066909,1782183942591221,130,ok,,length,2d7e8202-74b6-4653-a1ed-a4e9c3137a2a
18,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1007,10828457,1782183942271192,1782183942332204,1782183943915452,130,ok,,length,13e00db1-121c-4f29-ab61-ec4db2236151
19,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,973,10890383,1782183942332229,1782183942395610,1782183943950230,130,ok,,length,d2678346-2891-43a5-bad6-1149a3bd50fe
20,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1008,12096107,1782183943538471,1782183943641761,1782183945267474,130,ok,,length,fc19018a-d275-4572-8824-061f266dbb0e
21,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,990,12096775,1782183943538470,1782183943641820,1782183945267520,130,ok,,length,dbf30041-9407-4460-82c6-ba8de0e9183a
22,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,983,12289830,1782183943731858,1782183943798244,1782183945394834,130,ok,,length,0da61809-9f39-4689-87a4-55ee1a60027b
23,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1003,12686592,1782183944128681,1782183944197239,1782183945797716,130,ok,,length,86c55a5f-6155-4140-8a38-93b22f7afa93
24,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,991,13115378,1782183944557835,1782183944618993,1782183946190116,130,ok,,length,44fd6ed0-9633-40b7-9b87-aa5bc23d2e66
25,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,976,13463378,1782183944904880,1782183944964177,1782183946530400,130,ok,,length,bbf636fb-7ff8-46fb-82e9-2e2a7482001c
26,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,993,13641366,1782183945083116,1782183945147907,1782183946680103,130,ok,,length,15875602-7183-4fd2-b2d7-f0df7c325876
27,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,998,13959973,1782183945401978,1782183945470284,1782183946994656,130,ok,,length,0ef40932-9dc8-435f-a325-b01702e4512e
28,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,988,14974591,1782183946416822,1782183946483826,1782183947993250,130,ok,,length,e12c6d17-c65e-4933-ba23-875669125927
29,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,966,15312060,1782183946754173,1782183946822278,1782183948300735,130,ok,,length,92d36daa-ca9a-465d-acae-e12478ce0e36
30,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,987,16073750,1782183947516017,1782183947580294,1782183949052877,130,ok,,length,7c4f0831-e66d-4029-bf12-2faf35c1859e
31,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,955,17248366,1782183948689896,1782183948755932,1782183950228911,130,ok,,length,ea5e1732-ab1c-4122-8d2f-3bac9ee70244
32,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,976,17732611,1782183949174143,1782183949238735,1782183950679937,130,ok,,length,fd9542ab-bf0a-412e-a939-48005bdb1463
33,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,975,20114500,1782183951556950,1782183951608443,1782183953111716,130,ok,,length,075aba1c-e0bc-4031-8697-302050550993
34,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,989,20715262,1782183952156827,1782183952223701,1782183953765806,130,ok,,length,03d98ab8-0e1f-4755-b39a-4ea1b39e68b1
35,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,981,21093249,1782183952535070,1782183952594432,1782183954175549,130,ok,,length,831817d2-49cd-4846-a48b-7fa1c709470a
36,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,999,21809005,1782183953251199,1782183953311005,1782183954899910,130,ok,,length,100b1872-1b55-4d03-927d-c10d7112feea
37,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,995,22162780,1782183953605346,1782183953672797,1782183955234545,130,ok,,length,0478694d-1271-48bf-8c2c-bd702e595789
