tenant_id,request_idx,ttft_ms,tpot_ms,mean_itl_ms,e2e_ms,num_input_tokens,num_output_tokens,start_time
tenant_A,0,71.57,12.66,12.56,1692.2,1024,128,1782184706.897
tenant_A,1,62.49,12.45,12.35,1656.18,1024,128,1782184707.037
tenant_B,2,64.6,12.22,12.13,1628.74,1024,128,1782184707.087
tenant_A,3,71.6,11.98,11.89,1604.98,1024,128,1782184707.146
tenant_B,4,60.68,12.42,12.33,1650.81,1024,128,1782184707.672
tenant_B,5,62.36,12.17,12.08,1620.63,1024,128,1782184708.466
tenant_B,6,68.93,12.18,12.08,1627.78,1024,128,1782184708.919
tenant_A,7,60.46,12.8,12.7,1698.77,1024,128,1782184709.07
tenant_B,8,62.9,12.57,12.47,1671.79,1024,128,1782184709.178
tenant_B,9,65.2,14.29,14.18,1894.48,1024,128,1782184710.47
tenant_B,10,60.1,14.08,13.97,1862.23,1024,128,1782184710.575
tenant_A,11,113.18,13.53,13.43,1845.14,1024,128,1782184710.62
tenant_B,12,139.44,13.53,13.43,1871.73,1024,128,1782184710.594
tenant_A,13,61.11,13.29,13.18,1761.71,1024,128,1782184710.945
tenant_B,14,98.19,13.63,13.53,1842.92,1024,128,1782184710.962
tenant_A,15,66.65,13.67,13.56,1815.79,1024,128,1782184711.163
tenant_B,16,70.17,13.66,13.56,1819.18,1024,128,1782184711.237
tenant_B,17,66.74,13.42,13.32,1785.05,1024,128,1782184711.426
tenant_A,18,66.83,14.1,13.99,1871.84,1024,128,1782184712.059
tenant_A,19,91.55,13.86,13.75,1865.49,1024,128,1782184712.089
tenant_A,20,112.93,13.76,13.65,1873.63,1024,128,1782184712.692
tenant_B,21,112.93,13.76,13.65,1873.61,1024,128,1782184712.692
tenant_B,22,71.12,13.5,13.4,1799.33,1024,128,1782184712.789
tenant_A,23,68.98,13.49,13.39,1795.74,1024,128,1782184712.987
tenant_B,24,62.39,13.25,13.15,1758.65,1024,128,1782184713.201
tenant_A,25,60.7,13.0,12.89,1724.09,1024,128,1782184713.376
tenant_B,26,61.14,12.74,12.65,1692.36,1024,128,1782184713.465
tenant_B,27,64.5,12.47,12.38,1661.15,1024,128,1782184713.624
tenant_A,28,65.18,12.59,12.49,1676.6,1024,128,1782184714.131
tenant_B,29,70.34,12.31,12.21,1645.77,1024,128,1782184714.301
tenant_A,30,65.97,11.97,11.88,1598.1,1024,128,1782184714.681
tenant_B,31,66.95,11.91,11.82,1591.85,1024,128,1782184715.269
tenant_B,32,64.6,11.86,11.76,1582.19,1024,128,1782184715.51
tenant_A,33,63.06,13.18,13.08,1750.35,1024,128,1782184716.701
tenant_B,34,67.78,13.0,12.9,1731.27,1024,128,1782184717.002
tenant_B,35,68.67,12.81,12.71,1707.83,1024,128,1782184717.191
tenant_B,36,62.79,12.86,12.76,1709.19,1024,128,1782184717.549
tenant_A,37,67.08,12.63,12.53,1683.52,1024,128,1782184717.725
tenant_A,38,67.72,12.39,12.29,1653.29,1024,128,1782184717.848
tenant_A,39,94.43,12.13,12.04,1647.22,1024,128,1782184717.865
tenant_A,40,67.04,13.01,12.91,1732.93,1024,128,1782184718.231
tenant_A,41,64.88,13.63,13.52,1809.04,1024,128,1782184719.037
tenant_B,42,66.32,14.01,13.9,1859.66,1024,128,1782184719.565
tenant_B,43,91.02,13.79,13.68,1855.77,1024,128,1782184719.593
tenant_A,44,59.15,13.56,13.46,1795.26,1024,128,1782184719.759
tenant_A,45,96.36,13.31,13.21,1800.35,1024,128,1782184719.766
tenant_A,46,62.42,13.08,12.98,1736.21,1024,128,1782184719.878
tenant_B,47,69.58,13.81,13.7,1837.16,1024,128,1782184720.076
tenant_B,48,103.99,13.53,13.43,1836.36,1024,128,1782184720.088
tenant_A,49,62.05,13.31,13.21,1766.33,1024,128,1782184720.374
tenant_B,50,60.82,13.23,13.12,1753.9,1024,128,1782184720.838
tenant_A,51,68.11,12.97,12.87,1728.23,1024,128,1782184721.113
tenant_B,52,59.41,13.37,13.26,1770.33,1024,128,1782184721.607
tenant_A,53,75.95,13.13,13.03,1756.6,1024,128,1782184721.645
tenant_B,54,68.05,12.88,12.78,1717.04,1024,128,1782184721.79
tenant_B,55,98.47,12.63,12.53,1715.09,1024,128,1782184721.815
tenant_A,56,62.48,12.58,12.48,1672.1,1024,128,1782184722.224
tenant_A,57,68.36,13.09,12.99,1743.92,1024,128,1782184722.987
tenant_A,58,71.18,12.84,12.74,1714.75,1024,128,1782184723.11
tenant_B,59,59.79,12.6,12.5,1672.7,1024,128,1782184723.305
tenant_A,60,69.88,12.57,12.47,1678.42,1024,128,1782184723.536
tenant_A,61,102.79,12.76,12.66,1736.21,1024,128,1782184724.372
tenant_A,62,112.32,12.76,12.66,1745.78,1024,128,1782184724.363
tenant_B,63,66.53,12.73,12.63,1695.69,1024,128,1782184724.653
tenant_B,64,68.99,12.48,12.39,1666.86,1024,128,1782184724.948
tenant_B,65,64.86,13.26,13.16,1762.44,1024,128,1782184725.723
tenant_B,66,61.72,13.06,12.96,1733.13,1024,128,1782184725.884
tenant_A,67,81.89,12.82,12.72,1722.7,1024,128,1782184725.918
tenant_A,68,59.3,12.77,12.67,1694.2,1024,128,1782184726.183
tenant_A,69,69.62,12.54,12.44,1674.82,1024,128,1782184726.679
tenant_B,70,59.34,13.0,12.9,1722.91,1024,128,1782184726.894
tenant_B,71,80.8,12.75,12.65,1712.76,1024,128,1782184726.928
tenant_A,72,63.32,13.32,13.22,1768.44,1024,128,1782184727.41
tenant_A,73,66.19,13.86,13.75,1840.19,1024,128,1782184727.764
tenant_B,74,70.95,14.04,13.93,1867.86,1024,128,1782184728.322
tenant_A,75,67.71,13.83,13.72,1838.23,1024,128,1782184728.448
tenant_A,76,60.5,13.59,13.49,1800.34,1024,128,1782184728.509
tenant_B,77,107.06,13.04,12.94,1776.76,1024,128,1782184728.885
tenant_B,78,105.98,13.05,12.94,1775.75,1024,128,1782184728.886
tenant_A,79,61.75,12.77,12.67,1696.31,1024,128,1782184729.105
tenant_A,80,62.4,12.75,12.66,1695.04,1024,128,1782184729.17
tenant_B,81,60.17,12.51,12.41,1660.85,1024,128,1782184729.379
tenant_A,82,83.95,12.25,12.16,1652.51,1024,128,1782184729.41
tenant_B,83,66.65,12.15,12.05,1621.38,1024,128,1782184729.747
tenant_A,84,61.78,12.12,12.02,1612.96,1024,128,1782184730.78
tenant_B,85,65.18,11.88,11.78,1585.41,1024,128,1782184731.107
tenant_B,86,65.15,11.62,11.53,1552.72,1024,128,1782184731.64
tenant_B,87,59.52,11.83,11.74,1573.65,1024,128,1782184732.043
tenant_A,88,60.58,14.32,14.21,1893.54,1024,128,1782184733.274
tenant_B,89,66.51,14.15,14.04,1877.12,1024,128,1782184733.435
tenant_A,90,61.43,14.0,13.89,1853.24,1024,128,1782184733.665
tenant_B,91,67.18,13.79,13.69,1832.87,1024,128,1782184733.745
tenant_A,92,64.0,13.89,13.78,1841.69,1024,128,1782184734.091
tenant_B,93,62.84,13.67,13.57,1813.21,1024,128,1782184734.273
tenant_B,94,66.6,13.44,13.34,1787.39,1024,128,1782184734.405
tenant_A,95,101.47,13.2,13.1,1791.5,1024,128,1782184734.424
tenant_A,96,91.95,12.95,12.85,1749.8,1024,128,1782184734.489
tenant_B,97,61.97,12.68,12.58,1684.65,1024,128,1782184734.635
tenant_B,98,68.47,12.37,12.27,1651.81,1024,128,1782184734.726
tenant_A,99,65.02,12.11,12.02,1615.15,1024,128,1782184734.82
tenant_A,100,64.83,12.04,11.95,1605.87,1024,128,1782184735.566
tenant_A,101,58.94,12.32,12.22,1635.77,1024,128,1782184736.416
tenant_A,102,61.15,13.41,13.3,1777.02,1024,128,1782184736.696
tenant_A,103,62.24,16.31,16.19,2150.27,1024,128,1782184737.686
tenant_A,104,62.72,16.12,15.99,2125.48,1024,128,1782184737.761
tenant_B,105,65.33,15.91,15.79,2102.16,1024,128,1782184737.87
tenant_A,106,61.06,15.96,15.84,2104.53,1024,128,1782184738.032
tenant_B,107,73.81,15.73,15.61,2087.24,1024,128,1782184738.074
tenant_B,108,103.86,15.48,15.36,2085.25,1024,128,1782184738.1
tenant_B,109,66.82,15.24,15.12,2017.41,1024,128,1782184738.193
tenant_B,110,88.18,15.0,14.88,2008.14,1024,128,1782184738.227
tenant_B,111,77.2,14.67,14.56,1955.25,1024,128,1782184738.522
tenant_B,112,137.7,14.22,14.11,1958.27,1024,128,1782184738.531
tenant_A,113,137.7,14.22,14.11,1958.35,1024,128,1782184738.531
tenant_B,114,147.94,13.95,13.84,1933.74,1024,128,1782184738.567
tenant_B,115,63.54,13.66,13.55,1811.41,1024,128,1782184738.972
tenant_B,116,65.16,13.58,13.48,1803.6,1024,128,1782184739.21
tenant_B,117,64.38,13.33,13.23,1771.0,1024,128,1782184739.302
tenant_A,118,71.32,13.02,12.92,1737.84,1024,128,1782184739.406
tenant_B,119,89.66,12.67,12.57,1711.2,1024,128,1782184739.455
tenant_B,120,73.37,12.5,12.4,1672.92,1024,128,1782184739.506
tenant_A,121,69.04,12.91,12.81,1722.03,1024,128,1782184740.044
tenant_A,122,63.82,12.73,12.63,1692.99,1024,128,1782184740.938
tenant_A,123,61.13,12.48,12.38,1658.79,1024,128,1782184741.158
tenant_B,124,61.96,12.24,12.14,1628.13,1024,128,1782184741.223
tenant_B,125,64.9,12.22,12.13,1629.63,1024,128,1782184741.424
tenant_A,126,62.19,11.98,11.89,1596.27,1024,128,1782184741.492
tenant_B,127,67.68,12.14,12.05,1621.56,1024,128,1782184742.515
tenant_A,128,64.96,12.35,12.26,1646.16,1024,128,1782184742.943
tenant_B,129,69.47,14.26,14.15,1894.34,1024,128,1782184743.573
tenant_B,130,63.65,15.09,14.98,1995.61,1024,128,1782184743.898
tenant_A,131,66.82,15.93,15.8,2105.24,1024,128,1782184744.248
