tenant_id,request_idx,ttft_ms,tpot_ms,mean_itl_ms,e2e_ms,num_input_tokens,num_output_tokens,start_time
tenant_A,0,73.03,13.54,13.43,1806.13,1024,128,1782185467.016
tenant_A,1,66.62,13.32,13.22,1771.7,1024,128,1782185467.109
tenant_B,2,88.86,13.07,12.97,1761.36,1024,128,1782185467.142
tenant_A,3,104.69,12.82,12.72,1745.65,1024,128,1782185467.182
tenant_B,4,62.37,12.58,12.48,1672.93,1024,128,1782185467.532
tenant_B,5,60.23,14.1,13.99,1865.28,1024,128,1782185468.061
tenant_B,6,59.84,14.41,14.3,1904.32,1024,128,1782185468.364
tenant_A,7,60.33,14.19,14.08,1876.11,1024,128,1782185468.464
tenant_B,8,67.04,13.94,13.83,1851.64,1024,128,1782185468.537
tenant_B,9,69.16,16.56,16.43,2188.53,1024,128,1782185469.398
tenant_B,10,64.96,16.34,16.22,2157.06,1024,128,1782185469.468
tenant_B,11,97.75,16.09,15.97,2157.48,1024,128,1782185469.48
tenant_A,12,125.99,15.84,15.71,2152.91,1024,128,1782185469.497
tenant_A,13,68.03,15.64,15.52,2069.69,1024,128,1782185469.715
tenant_B,14,97.54,15.42,15.3,2070.74,1024,128,1782185469.726
tenant_A,15,67.03,15.19,15.07,2011.09,1024,128,1782185469.86
tenant_B,16,72.69,15.16,15.04,2013.23,1024,128,1782185469.91
tenant_B,17,62.6,15.17,15.05,2004.57,1024,128,1782185470.035
tenant_A,18,69.78,15.22,15.1,2018.17,1024,128,1782185470.457
tenant_A,19,94.72,14.96,14.84,2009.2,1024,128,1782185470.478
tenant_A,20,119.68,14.85,14.73,2019.96,1024,128,1782185470.879
tenant_B,21,119.67,14.85,14.73,2019.97,1024,128,1782185470.879
tenant_B,22,111.08,14.6,14.48,1979.4,1024,128,1782185470.944
tenant_A,23,83.43,14.35,14.23,1919.71,1024,128,1782185471.076
tenant_B,24,68.52,14.09,13.98,1872.35,1024,128,1782185471.219
tenant_A,25,83.22,13.72,13.61,1839.24,1024,128,1782185471.335
tenant_B,26,58.17,13.54,13.44,1791.63,1024,128,1782185471.394
tenant_B,27,73.31,13.23,13.13,1767.38,1024,128,1782185471.5
tenant_A,28,72.19,12.85,12.75,1717.48,1024,128,1782185471.839
tenant_B,29,63.03,12.82,12.72,1704.14,1024,128,1782185471.951
tenant_A,30,71.6,12.74,12.64,1702.0,1024,128,1782185472.205
tenant_B,31,64.07,13.08,12.98,1738.45,1024,128,1782185472.597
tenant_B,32,66.89,13.37,13.27,1778.1,1024,128,1782185472.758
tenant_A,33,68.67,13.64,13.53,1814.37,1024,128,1782185473.552
tenant_B,34,60.21,13.89,13.78,1838.23,1024,128,1782185473.753
tenant_B,35,69.31,14.5,14.39,1925.78,1024,128,1782185473.878
tenant_B,36,68.93,15.11,14.99,2002.98,1024,128,1782185474.117
tenant_A,37,63.74,14.91,14.8,1972.52,1024,128,1782185474.234
tenant_A,38,112.56,14.37,14.26,1951.73,1024,128,1782185474.316
tenant_A,39,100.6,14.37,14.26,1939.76,1024,128,1782185474.328
tenant_A,40,63.75,14.4,14.29,1907.07,1024,128,1782185474.572
tenant_A,41,62.79,15.56,15.44,2054.51,1024,128,1782185475.11
tenant_B,42,62.59,15.62,15.5,2062.17,1024,128,1782185475.461
tenant_B,43,98.89,15.38,15.26,2067.21,1024,128,1782185475.48
tenant_A,44,101.86,14.83,14.72,2000.48,1024,128,1782185475.595
tenant_A,45,106.53,14.83,14.72,2005.18,1024,128,1782185475.591
tenant_A,46,84.58,14.57,14.46,1950.07,1024,128,1782185475.67
tenant_B,47,68.59,14.33,14.22,1902.67,1024,128,1782185475.802
tenant_B,48,104.73,14.07,13.97,1906.24,1024,128,1782185475.81
tenant_A,49,69.94,14.26,14.15,1895.1,1024,128,1782185476.0
tenant_B,50,71.51,14.47,14.36,1923.71,1024,128,1782185476.31
tenant_A,51,63.99,14.23,14.12,1885.48,1024,128,1782185476.493
tenant_B,52,68.25,13.99,13.88,1859.22,1024,128,1782185476.823
tenant_A,53,100.28,14.23,14.12,1921.51,1024,128,1782185476.847
tenant_B,54,77.59,13.94,13.83,1861.56,1024,128,1782185476.944
tenant_B,55,105.44,13.69,13.58,1857.22,1024,128,1782185476.961
tenant_A,56,68.72,13.63,13.53,1813.8,1024,128,1782185477.234
tenant_A,57,61.49,13.54,13.44,1794.85,1024,128,1782185477.743
tenant_A,58,70.63,13.52,13.42,1801.43,1024,128,1782185477.824
tenant_B,59,67.05,13.51,13.4,1796.0,1024,128,1782185477.954
tenant_A,60,63.4,13.52,13.41,1793.37,1024,128,1782185478.109
tenant_A,61,67.2,14.14,14.03,1876.54,1024,128,1782185478.659
tenant_A,62,103.08,13.9,13.79,1882.22,1024,128,1782185478.666
tenant_B,63,64.9,13.68,13.57,1815.3,1024,128,1782185478.853
tenant_B,64,63.51,13.7,13.59,1816.81,1024,128,1782185479.049
tenant_B,65,60.05,14.25,14.14,1884.24,1024,128,1782185479.566
tenant_B,66,65.61,14.29,14.18,1894.89,1024,128,1782185479.673
tenant_A,67,98.6,14.04,13.93,1895.43,1024,128,1782185479.696
tenant_A,68,69.37,14.4,14.29,1912.27,1024,128,1782185479.873
tenant_A,69,63.66,15.24,15.12,2014.3,1024,128,1782185480.204
tenant_B,70,71.39,15.26,15.14,2024.33,1024,128,1782185480.347
tenant_B,71,92.05,15.02,14.9,2014.22,1024,128,1782185480.369
tenant_A,72,65.56,14.8,14.68,1959.78,1024,128,1782185480.691
tenant_A,73,62.66,14.58,14.47,1929.36,1024,128,1782185480.927
tenant_B,74,70.07,14.82,14.71,1967.38,1024,128,1782185481.3
tenant_A,75,67.21,14.58,14.46,1933.19,1024,128,1782185481.383
tenant_A,76,83.47,14.32,14.21,1917.03,1024,128,1782185481.423
tenant_B,77,111.05,13.98,13.87,1899.96,1024,128,1782185481.674
tenant_B,78,109.94,13.98,13.87,1898.91,1024,128,1782185481.675
tenant_A,79,67.5,13.73,13.62,1824.37,1024,128,1782185481.821
tenant_A,80,78.87,13.47,13.37,1803.31,1024,128,1782185481.865
tenant_B,81,67.81,13.22,13.12,1759.77,1024,128,1782185482.004
tenant_A,82,93.76,12.95,12.85,1751.12,1024,128,1782185482.024
tenant_B,83,60.79,12.86,12.76,1707.46,1024,128,1782185482.249
tenant_A,84,68.47,12.39,12.3,1654.7,1024,128,1782185482.938
tenant_B,85,61.87,12.56,12.47,1670.17,1024,128,1782185483.156
tenant_B,86,62.83,12.93,12.83,1717.96,1024,128,1782185483.511
tenant_B,87,59.54,14.5,14.39,1915.75,1024,128,1782185483.78
tenant_A,88,67.3,14.84,14.72,1966.52,1024,128,1782185484.601
tenant_B,89,60.4,14.64,14.52,1933.92,1024,128,1782185484.707
tenant_A,90,64.03,14.7,14.59,1945.78,1024,128,1782185484.86
tenant_B,91,62.15,14.47,14.36,1914.93,1024,128,1782185484.915
tenant_A,92,59.78,14.55,14.43,1921.68,1024,128,1782185485.146
tenant_B,93,62.29,14.34,14.23,1897.67,1024,128,1782185485.267
tenant_B,94,63.81,14.11,14.0,1870.06,1024,128,1782185485.354
tenant_A,95,95.59,13.84,13.74,1867.72,1024,128,1782185485.368
tenant_A,96,99.16,13.58,13.47,1837.03,1024,128,1782185485.411
tenant_B,97,70.3,13.32,13.22,1775.19,1024,128,1782185485.508
tenant_B,98,72.2,13.02,12.91,1738.23,1024,128,1782185485.568
tenant_A,99,64.29,12.77,12.67,1698.46,1024,128,1782185485.631
