request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
0,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1010,253045,1782187783177291,1782187783251400,1782187784883017,130,ok,,length,fbc7c631-0135-45b0-a506-a4407b412028
1,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,987,393163,1782187783318050,1782187783382932,1782187784987166,130,ok,,length,c10b20da-07d4-44b5-8911-58c0cef7c6d8
2,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,442852,1782187783367391,1782187783436873,1782187785010334,130,ok,,length,22bfa617-be70-435c-a8d3-5bcccb0b9dac
3,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1000,501239,1782187783426021,1782187783491451,1782187785033368,130,ok,,length,9cb11598-05b0-4b8a-b7a7-86974a12010b
4,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,977,1028077,1782187783952173,1782187784015165,1782187785606794,130,ok,,length,c2efe4c7-fae4-4bff-8f25-0027cb7b81e3
5,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1011,1821521,1782187784745439,1782187784810591,1782187786370280,130,ok,,length,08a508cc-886a-4561-a9d8-6fb3c7f33ee0
6,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,989,2274976,1782187785199435,1782187785267525,1782187786825302,130,ok,,length,c56595a9-d4b5-41ca-a5c4-e19468489299
7,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,2425373,1782187785349782,1782187785413779,1782187787037849,130,ok,,length,ee68e2a7-74d4-46c3-9732-04b2b75eb3d3
8,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,2533996,1782187785458287,1782187785524758,1782187787136859,130,ok,,length,0329eca2-775e-4d35-8a75-f2ec9a64c105
9,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,951,3825703,1782187786749884,1782187786813929,1782187788642234,130,ok,,length,054adf65-5a19-4ba3-935d-52d3133c9501
10,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,986,3931157,1782187786855610,1782187786925092,1782187788726798,130,ok,,length,b411754f-14ad-46d2-8c76-e1f10422211d
11,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,3949450,1782187786873901,1782187786969242,1782187788738808,130,ok,,length,96a2bab9-d5cf-4a04-a143-fbce22c2f087
12,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,994,3975794,1782187786899607,1782187787014363,1782187788750467,130,ok,,length,4dd52501-33ba-466d-a9e3-51699396255b
13,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,967,4301090,1782187787225836,1782187787291828,1782187789010622,130,ok,,length,b1c94215-97a9-4432-9ca3-cd7e0394cc84
14,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,964,4317337,1782187787241885,1782187787335030,1782187789080515,130,ok,,length,8a36b415-bd95-4523-aa01-297bd336c90d
15,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,963,4519103,1782187787443809,1782187787505458,1782187789255850,130,ok,,length,b984d099-0ea4-4a41-896d-0c6c993b21b0
16,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,1009,4593174,1782187787517061,1782187787583852,1782187789333272,130,ok,,length,1b2af571-d8fc-4430-b32a-42ae1fdea0d0
17,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,964,4781500,1782187787706228,1782187787769750,1782187789488439,130,ok,,length,af3bb9c4-9135-427f-a682-f58e5d5b68c1
