tenant_id,request_idx,ttft_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,e2e_ms,num_output_tokens,start_time
tenant_A,762,73.97,17.43,12.92,46.63,49.99,2287.44,128,1782139688.259
tenant_A,820,76.21,20.83,13.18,49.18,89.83,2721.96,128,1782139718.011
tenant_A,204,74.9,14.31,11.78,47.09,48.01,1892.59,128,1782139413.367
tenant_A,337,105.15,14.99,12.67,44.88,48.04,2008.86,128,1782139474.275
tenant_A,641,111.27,15.07,12.16,45.83,47.39,2025.74,128,1782139628.78
tenant_A,944,107.48,14.49,12.72,35.85,47.43,1947.49,128,1782139774.627
tenant_A,998,71.85,13.89,12.02,34.88,48.12,1836.32,128,1782139801.082
tenant_A,1,63.73,13.38,12.11,13.46,45.77,1762.98,128,1782139307.541
tenant_A,302,70.24,14.0,12.12,34.45,47.95,1848.69,128,1782139454.543
tenant_A,335,70.52,15.08,12.77,45.81,47.18,1985.09,128,1782139473.902
tenant_A,511,76.17,16.84,12.87,47.21,48.84,2214.64,128,1782139562.624
tenant_A,543,65.18,14.96,12.27,44.18,48.47,1964.96,128,1782139577.534
tenant_A,572,71.76,14.69,12.63,44.66,47.52,1936.82,128,1782139589.596
tenant_A,687,75.22,15.27,11.93,47.85,49.4,2014.52,128,1782139650.564
tenant_A,700,107.03,14.56,12.48,44.39,46.1,1956.52,128,1782139654.766
tenant_A,888,77.57,15.77,12.73,45.51,47.94,2080.05,128,1782139747.345
tenant_A,1074,88.23,17.39,13.02,45.99,48.19,2296.93,128,1782139847.33
tenant_A,163,74.82,14.73,12.02,46.37,47.51,1945.61,128,1782139388.671
tenant_A,208,72.27,17.9,12.85,47.5,87.48,2345.13,128,1782139415.852
tenant_A,399,70.35,14.81,12.18,44.74,48.06,1951.17,128,1782139509.802
tenant_A,513,70.28,17.59,12.81,47.42,49.5,2304.52,128,1782139563.18
tenant_A,703,68.34,16.26,12.22,46.21,82.68,2133.86,128,1782139657.041
tenant_A,985,129.4,14.37,12.3,44.55,47.28,1954.01,128,1782139794.505
tenant_A,997,88.98,14.18,12.03,44.75,48.26,1889.58,128,1782139800.969
tenant_A,64,73.33,13.46,12.18,12.91,45.35,1783.19,128,1782139340.091
tenant_A,137,78.16,15.06,12.16,45.24,48.38,1991.37,128,1782139377.43
tenant_A,352,113.29,14.62,12.26,44.41,47.36,1969.68,128,1782139481.169
tenant_A,381,73.54,18.39,12.98,47.19,78.02,2409.3,128,1782139499.017
tenant_A,488,192.6,17.25,12.81,47.19,48.98,2383.17,128,1782139553.489
tenant_A,565,69.18,17.35,12.89,46.47,47.98,2272.06,128,1782139588.277
tenant_A,650,67.63,16.04,12.29,46.89,48.19,2104.77,128,1782139631.555
tenant_A,767,113.27,14.56,12.52,44.16,46.34,1962.79,128,1782139689.523
tenant_A,821,70.62,20.65,13.24,49.13,89.86,2692.76,128,1782139718.173
tenant_A,961,120.15,19.65,13.22,49.72,53.38,2616.34,128,1782139783.05
tenant_A,1073,67.45,17.87,13.03,45.95,48.19,2336.77,128,1782139847.174
tenant_A,185,71.18,18.84,12.39,49.14,87.99,2464.23,128,1782139397.912
tenant_A,206,147.83,17.29,12.39,47.04,87.48,2343.44,128,1782139415.026
