tenant_id,request_idx,ttft_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,e2e_ms,num_output_tokens,start_time
tenant_A,593,117.65,15.69,12.76,45.69,48.64,2109.75,128,1782140361.855
tenant_A,529,97.01,16.44,12.94,46.45,48.02,2185.37,128,1782140335.746
tenant_A,50,67.42,15.1,12.28,44.49,47.22,1985.51,128,1782140097.574
tenant_A,272,68.29,18.87,13.19,50.57,78.81,2464.49,128,1782140206.415
tenant_A,888,77.9,16.9,12.99,46.36,49.49,2223.85,128,1782140511.644
tenant_A,935,113.6,18.18,13.03,49.27,53.78,2422.73,128,1782140535.084
tenant_A,96,146.21,19.98,13.09,52.76,71.6,2683.38,128,1782140119.937
tenant_A,139,106.39,17.2,12.97,46.98,48.4,2290.59,128,1782140142.46
tenant_A,514,110.5,19.87,13.16,51.1,96.7,2633.9,128,1782140327.767
tenant_A,644,69.68,17.75,12.75,46.71,75.7,2324.19,128,1782140394.322
tenant_A,806,100.23,19.78,13.44,50.76,96.57,2611.8,128,1782140475.994
tenant_A,889,73.18,15.73,12.56,45.25,48.41,2070.54,128,1782140512.746
tenant_A,924,102.63,18.05,12.56,48.04,86.81,2394.61,128,1782140530.073
tenant_A,249,76.77,13.65,12.29,13.38,47.35,1810.01,128,1782140195.405
tenant_A,722,72.26,15.16,12.63,45.2,45.96,1997.64,128,1782140434.127
tenant_A,786,147.48,16.44,12.4,46.15,48.95,2234.98,128,1782140467.602
tenant_A,815,93.52,15.39,12.27,45.08,47.22,2048.37,128,1782140479.352
tenant_A,145,72.28,17.77,12.93,47.27,79.74,2329.67,128,1782140143.77
tenant_A,879,103.6,15.96,12.52,45.16,46.58,2130.39,128,1782140507.592
tenant_A,1061,65.12,16.6,12.55,45.04,78.14,2173.36,128,1782140601.499
tenant_A,1095,65.85,18.01,12.85,46.62,49.16,2353.67,128,1782140622.211
tenant_A,116,75.84,18.61,12.92,47.82,53.13,2439.11,128,1782140129.312
tenant_A,136,74.89,16.42,12.39,46.65,48.84,2160.13,128,1782140140.595
tenant_A,796,69.81,19.67,13.07,48.0,54.74,2568.13,128,1782140472.072
tenant_A,894,72.07,17.94,12.87,48.13,75.52,2350.42,128,1782140515.124
tenant_A,1181,124.98,12.47,12.14,13.02,13.73,1708.25,128,1782140670.459
tenant_A,88,68.97,17.77,12.83,46.51,48.48,2326.01,128,1782140116.249
tenant_A,241,69.49,14.99,12.5,44.32,52.26,1972.86,128,1782140193.0
tenant_A,304,65.37,18.11,12.54,47.01,48.71,2365.52,128,1782140219.935
tenant_A,846,133.02,20.88,13.94,50.96,83.5,2784.6,128,1782140490.749
tenant_A,238,112.94,15.92,12.59,45.94,53.15,2135.23,128,1782140192.708
