tenant_id,request_idx,ttft_ms,tpot_ms,mean_itl_ms,e2e_ms,num_input_tokens,num_output_tokens,start_time
tenant_E,0,74.84,16.99,16.86,2249.22,1024,128,1782190090.509
tenant_A,1,62.85,18.27,18.13,2401.14,1024,128,1782190090.753
tenant_C,2,73.67,18.06,17.92,2384.74,1024,128,1782190090.795
tenant_A,3,63.3,17.87,17.73,2350.53,1024,128,1782190090.894
tenant_B,4,67.81,17.65,17.51,2327.2,1024,128,1782190090.943
tenant_A,5,63.62,17.42,17.29,2293.73,1024,128,1782190091.002
tenant_D,6,61.24,17.83,17.69,2343.28,1024,128,1782190091.233
tenant_D,7,81.84,17.61,17.47,2335.49,1024,128,1782190091.267
tenant_B,8,117.55,17.34,17.21,2337.68,1024,128,1782190091.528
tenant_E,9,120.53,17.34,17.21,2340.68,1024,128,1782190091.526
tenant_C,10,101.02,17.17,17.04,2299.36,1024,128,1782190091.579
tenant_C,11,92.98,16.94,16.81,2261.21,1024,128,1782190091.643
tenant_E,12,87.33,16.7,16.57,2224.84,1024,128,1782190091.705
tenant_D,13,64.0,16.76,16.63,2208.65,1024,128,1782190091.968
tenant_D,14,114.5,16.5,16.37,2226.73,1024,128,1782190091.975
tenant_C,15,64.12,17.08,16.95,2250.35,1024,128,1782190092.13
tenant_D,16,84.57,16.99,16.86,2259.63,1024,128,1782190092.191
tenant_E,17,67.51,16.82,16.69,2220.32,1024,128,1782190092.243
tenant_B,18,79.17,17.27,17.13,2289.58,1024,128,1782190092.322
tenant_C,19,64.54,17.02,16.89,2243.24,1024,128,1782190092.444
tenant_D,20,74.3,17.05,16.92,2257.16,1024,128,1782190092.567
tenant_B,21,62.91,17.89,17.75,2352.53,1024,128,1782190092.776
tenant_D,22,70.45,17.95,17.81,2368.1,1024,128,1782190092.85
tenant_A,23,64.86,17.71,17.57,2331.6,1024,128,1782190092.926
tenant_D,24,98.99,17.44,17.31,2331.42,1024,128,1782190092.938
tenant_B,25,80.4,17.14,17.0,2273.77,1024,128,1782190093.035
tenant_E,26,63.44,17.38,17.24,2287.48,1024,128,1782190093.275
tenant_E,27,65.36,17.36,17.23,2288.08,1024,128,1782190093.432
tenant_C,28,71.77,17.1,16.97,2260.59,1024,128,1782190093.639
tenant_C,29,77.34,18.96,18.81,2504.43,1024,128,1782190094.048
tenant_D,30,73.31,19.54,19.38,2573.79,1024,128,1782190094.177
tenant_E,31,91.82,19.3,19.15,2562.65,1024,128,1782190094.214
tenant_D,32,73.66,19.03,18.88,2509.66,1024,128,1782190094.294
tenant_B,33,98.07,18.79,18.64,2502.62,1024,128,1782190094.326
tenant_B,34,74.34,18.83,18.69,2484.75,1024,128,1782190094.431
tenant_B,35,98.73,18.6,18.45,2479.04,1024,128,1782190094.45
tenant_A,36,119.08,18.92,18.77,2540.32,1024,128,1782190094.477
tenant_E,37,69.25,21.23,21.06,2786.24,1024,128,1782190094.755
tenant_A,38,79.66,21.29,21.12,2804.74,1024,128,1782190094.802
tenant_B,39,109.65,21.04,20.87,2802.36,1024,128,1782190094.817
tenant_A,40,108.3,20.5,20.34,2732.58,1024,128,1782190095.02
tenant_E,41,115.83,20.5,20.34,2740.09,1024,128,1782190095.012
tenant_B,42,98.57,20.2,20.05,2684.65,1024,128,1782190095.094
tenant_B,43,68.14,20.48,20.32,2689.4,1024,128,1782190095.282
tenant_D,44,96.08,20.24,20.09,2687.11,1024,128,1782190095.311
tenant_D,45,68.94,21.35,21.19,2802.29,1024,128,1782190095.548
tenant_A,46,66.49,23.15,22.97,3030.21,1024,128,1782190095.915
tenant_D,47,128.39,22.63,22.45,3024.72,1024,128,1782190095.949
tenant_A,48,131.58,22.63,22.45,3027.92,1024,128,1782190095.946
tenant_C,49,120.17,22.4,22.22,2986.98,1024,128,1782190096.015
tenant_D,50,91.4,22.16,21.99,2927.83,1024,128,1782190096.102
tenant_C,51,76.22,21.88,21.71,2877.37,1024,128,1782190096.193
tenant_D,52,79.3,21.93,21.76,2885.96,1024,128,1782190096.247
tenant_C,53,74.18,22.53,22.36,2958.56,1024,128,1782190096.439
tenant_A,54,115.53,22.25,22.08,2963.86,1024,128,1782190096.548
tenant_B,55,115.52,22.25,22.08,2963.95,1024,128,1782190096.548
tenant_B,56,78.4,21.99,21.82,2893.04,1024,128,1782190096.645
tenant_A,57,72.65,21.75,21.58,2856.06,1024,128,1782190096.844
tenant_C,58,113.37,21.17,21.0,2822.86,1024,128,1782190096.904
tenant_D,59,130.28,21.17,21.0,2839.78,1024,128,1782190096.887
tenant_D,60,144.17,20.56,20.41,2776.45,1024,128,1782190096.976
tenant_D,61,130.55,20.56,20.41,2762.87,1024,128,1782190096.99
tenant_D,62,162.49,19.99,19.83,2721.02,1024,128,1782190097.058
tenant_B,63,162.54,19.99,19.83,2721.14,1024,128,1782190097.058
tenant_A,64,70.65,19.75,19.6,2598.44,1024,128,1782190097.233
tenant_E,65,68.59,19.49,19.34,2563.03,1024,128,1782190097.307
tenant_B,66,100.96,19.22,19.07,2560.84,1024,128,1782190097.322
tenant_C,67,122.37,18.93,18.78,2545.01,1024,128,1782190097.35
tenant_C,68,137.96,18.6,18.45,2518.52,1024,128,1782190097.39
tenant_B,69,111.56,18.29,18.15,2452.86,1024,128,1782190097.481
tenant_D,70,70.34,18.5,18.35,2438.0,1024,128,1782190097.803
tenant_C,71,70.31,18.24,18.09,2404.55,1024,128,1782190097.901
tenant_D,72,76.91,17.99,17.85,2379.53,1024,128,1782190097.965
tenant_A,73,101.47,17.72,17.58,2369.07,1024,128,1782190097.988
tenant_E,74,116.54,17.42,17.29,2346.38,1024,128,1782190098.036
tenant_B,75,66.51,17.16,17.02,2262.49,1024,128,1782190098.157
