request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
0,tenant_E,tenant_E,,,0,,0,true,1024,128,0,0,0,0,0,,0,965,8532,1782190090509291,1782190090584131,1782190092758515,130,ok,,length,43be8426-e07f-475c-90df-7a67d48395bd
1,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1010,253045,1782190090753494,1782190090816344,1782190093154636,130,ok,,length,53b0ba84-05b6-4667-a62f-c88856036270
2,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,295084,1782190090795491,1782190090869161,1782190093180228,130,ok,,length,ccf95afd-f8f9-40a9-b371-4de3616cd243
3,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,987,393163,1782190090894071,1782190090957368,1782190093244603,130,ok,,length,c6378cb9-c46a-4030-92b0-ccd356058bbc
4,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,442852,1782190090943128,1782190091010933,1782190093270325,130,ok,,length,45b31974-daf9-44e5-b6a6-5c2b75b80746
5,tenant_A,tenant_A,,,0,,0,true,1024,128,0,0,0,0,0,,0,1000,501239,1782190091002116,1782190091065732,1782190093295846,130,ok,,length,dc241528-4b8f-47ac-8d6e-d19c208921f5
6,tenant_D,tenant_D,,,0,,0,true,1024,128,0,0,0,0,0,,0,978,731688,1782190091232664,1782190091293908,1782190093575946,130,ok,,length,44967983-dd30-4d58-a488-845ef4923243
7,tenant_D,tenant_D,,,0,,0,true,1024,128,0,0,0,0,0,,0,1003,766458,1782190091266545,1782190091348390,1782190093602037,130,ok,,length,ad1f26da-a49f-4d2e-b8fb-daef6055aec7
9,tenant_B,tenant_B,,,0,,0,true,1024,128,0,0,0,0,0,,0,977,1028077,1782190091528489,1782190091646043,1782190093866170,130,ok,,length,4863ae4c-4038-4d9b-9def-efb0836942a8
8,tenant_E,tenant_E,,,0,,0,true,1024,128,0,0,0,0,0,,0,995,1025194,1782190091525509,1782190091646039,1782190093866194,130,ok,,length,82486dfd-0c9c-4be9-afa8-38f47413f1b5
10,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,985,1079221,1782190091579422,1782190091680439,1782190093878786,130,ok,,length,2930b0ce-e972-4cc2-86a9-303cc1bcfe3f
11,tenant_C,tenant_C,,,0,,0,true,1024,128,0,0,0,0,0,,0,977,1143155,1782190091643220,1782190091736202,1782190093904432,130,ok,,length,55355860-27fb-4a13-89dc-3b4042582df8
