tenant_id,request_idx,ttft_ms,tpot_ms,mean_itl_ms,e2e_ms,num_input_tokens,num_output_tokens,start_time
tenant_E,0,69.95,16.99,16.86,2244.27,1024,128,1782190085.846
tenant_A,1,60.58,18.24,18.1,2394.9,1024,128,1782190086.091
tenant_C,2,71.01,18.03,17.89,2378.57,1024,128,1782190086.133
tenant_A,3,60.62,17.85,17.71,2344.78,1024,128,1782190086.231
tenant_B,4,66.21,17.62,17.48,2321.11,1024,128,1782190086.281
tenant_A,5,62.14,17.39,17.26,2288.22,1024,128,1782190086.339
tenant_D,6,61.02,17.77,17.63,2335.12,1024,128,1782190086.569
tenant_D,7,80.76,17.54,17.4,2325.5,1024,128,1782190086.604
tenant_E,8,119.62,17.26,17.12,2328.68,1024,128,1782190086.863
tenant_B,9,116.97,17.26,17.12,2325.98,1024,128,1782190086.866
tenant_C,10,100.43,17.09,16.96,2287.76,1024,128,1782190086.917
tenant_C,11,92.93,16.85,16.72,2249.58,1024,128,1782190086.98
tenant_E,12,87.16,16.61,16.48,2213.31,1024,128,1782190087.042
tenant_D,13,62.51,16.66,16.53,2195.15,1024,128,1782190087.305
tenant_D,14,101.88,16.39,16.27,2200.29,1024,128,1782190087.312
tenant_C,15,63.53,16.96,16.83,2234.99,1024,128,1782190087.467
tenant_D,16,83.91,16.87,16.74,2243.09,1024,128,1782190087.527
tenant_E,17,65.98,16.7,16.57,2203.06,1024,128,1782190087.58
tenant_B,18,76.55,17.14,17.0,2270.11,1024,128,1782190087.659
tenant_C,19,61.38,16.91,16.78,2226.37,1024,128,1782190087.78
tenant_D,20,70.1,16.68,16.55,2204.96,1024,128,1782190087.904
tenant_B,21,70.94,17.8,17.66,2349.45,1024,128,1782190088.113
tenant_D,22,67.18,17.84,17.7,2350.26,1024,128,1782190088.187
tenant_A,23,73.05,17.6,17.46,2325.24,1024,128,1782190088.263
tenant_D,24,106.18,17.35,17.21,2326.43,1024,128,1782190088.275
tenant_B,25,74.91,17.03,16.9,2255.32,1024,128,1782190088.372
tenant_E,26,69.56,17.44,17.31,2302.39,1024,128,1782190088.612
tenant_E,27,70.15,17.43,17.3,2301.82,1024,128,1782190088.77
