request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
0,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,44285,1782244309457537,1782244309529508,1782244322701754,130,ok,,length,b04c8506-2e3b-4ff8-ab39-e5ca0495c7d0
1,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,977,102807,1782244309516837,1782244309582552,1782244322776893,130,ok,,length,70234653-9e96-4769-a1d3-889ed587f09e
2,tenantA,tenantA,,,0,,0,true,1024,128,0,0,0,0,0,,0,1010,126520,1782244309540750,1782244309637399,1782244322880275,130,ok,,length,d956efc4-6385-4f47-83c7-58c5f2f4cd21
3,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,1011,182151,1782244309595802,1782244309682767,1782244322942657,130,ok,,length,d120616f-0830-4bed-af96-78c10cc20423
4,tenantA,tenantA,,,0,,0,true,1024,128,0,0,0,0,0,,0,987,196577,1782244309610791,1782244309744224,1782244322973847,130,ok,,length,52578858-13b3-4822-a505-351f380e42f8
7,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,1001,253398,1782244309667371,1782244309856558,1782244323061468,130,ok,,length,42e8343e-20d3-4d87-a9b3-e6a22b2608a3
5,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,989,227496,1782244309641671,1782244309856632,1782244323061629,130,ok,,length,f4aae672-3833-4cca-a02c-2547d615850d
6,tenantA,tenantA,,,0,,0,true,1024,128,0,0,0,0,0,,0,1000,250613,1782244309663956,1782244309856619,1782244323061767,130,ok,,length,cf0ae1ed-d957-4ffa-8e93-42ee0b0896f7
8,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,951,382569,1782244309796195,1782244310047275,1782244323196411,130,ok,,length,3a93dd19-9262-44b5-b240-84befcc9c5de
10,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,996,394943,1782244309809102,1782244310047278,1782244323196577,130,ok,,length,a0191198-1eeb-4760-9f88-7826800ff17f
11,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,964,431731,1782244309845302,1782244310047293,1782244323196640,130,ok,,length,10f7736f-b97a-4c9c-8fc1-d07b9abe970d
9,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,986,393114,1782244309806697,1782244310047292,1782244323196780,130,ok,,length,d54ade37-f96b-43cc-86d1-037060918f72
13,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,964,478146,1782244309892320,1782244310123145,1782244323358873,130,ok,,length,988a634a-5ed8-470f-9041-7ae153cc9b0e
12,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,1009,459314,1782244309872820,1782244310123201,1782244323359237,130,ok,,length,5eb51b9d-f85a-4240-a34e-9d8ba80b22c0
18,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,998,697993,1782244310111804,1782244310375269,1782244323588083,130,ok,,length,5f7c5eaf-837a-4551-b634-535526940598
17,tenantB,tenantB,,,0,,0,true,1024,128,0,0,0,0,0,,0,993,682063,1782244310095801,1782244310375248,1782244323588127,130,ok,,length,555d6564-b0cf-4e2a-8bf3-e8ebbae334b9
