tenant_id,request_idx,ttft_ms,tpot_ms,mean_itl_ms,e2e_ms,num_input_tokens,num_output_tokens,start_time
tenantA,0,41.56,120.4,119.47,15453.2,256,128,1782249882.131
tenantB,1,186.73,119.47,118.54,15478.3,4096,128,1782249882.162
tenantA,2,189.16,119.56,118.64,15493.31,256,128,1782249882.188
tenantA,3,211.16,119.79,118.86,15544.03,256,128,1782249882.212
tenantA,4,192.74,119.79,118.86,15525.77,256,128,1782249882.23
tenantA,5,173.33,119.79,118.86,15506.37,256,128,1782249882.249
tenantA,6,161.78,119.79,118.86,15494.9,256,128,1782249882.261
tenantA,7,131.89,119.79,118.86,15465.15,256,128,1782249882.291
tenantB,8,414.16,118.93,118.01,15636.91,4096,128,1782249882.384
tenantB,9,402.53,118.93,118.01,15625.48,4096,128,1782249882.396
tenantA,10,390.74,118.93,118.01,15614.18,256,128,1782249882.407
tenantB,11,1084.64,113.5,112.62,15612.08,4096,128,1782249882.437
tenantA,12,1073.58,113.49,112.61,15600.75,256,128,1782249882.448
tenantB,13,1059.36,113.5,112.62,15586.92,4096,128,1782249882.463
tenantA,14,915.9,116.33,115.43,15806.48,256,128,1782249882.62
tenantB,15,1017.86,116.34,115.43,15908.83,4096,128,1782249882.518
tenantA,16,980.29,116.34,115.43,15871.34,256,128,1782249882.556
tenantB,17,1484.17,113.75,112.87,16043.92,4096,128,1782249882.772
tenantB,18,1415.25,113.75,112.87,15975.36,4096,128,1782249882.841
tenantA,19,1326.93,113.75,112.87,15887.08,256,128,1782249882.929
tenantB,20,1292.26,113.75,112.87,15852.41,4096,128,1782249882.964
tenantB,21,1182.59,115.52,114.63,15969.29,4096,128,1782249883.086
tenantA,22,1163.31,115.52,114.63,15949.95,256,128,1782249883.105
tenantA,23,1187.21,115.52,114.63,15974.17,256,128,1782249883.081
tenantB,24,1863.76,112.95,112.07,16320.88,4096,128,1782249883.111
tenantA,25,1774.87,112.95,112.07,16232.19,256,128,1782249883.199
tenantB,26,1741.12,112.95,112.07,16198.63,4096,128,1782249883.233
tenantA,27,1735.75,112.95,112.07,16193.19,256,128,1782249883.239
tenantB,28,1718.91,115.76,114.86,16535.7,4096,128,1782249883.271
tenantA,29,1620.64,115.76,114.86,16437.83,256,128,1782249883.369
tenantA,30,1595.12,115.76,114.86,16412.4,256,128,1782249883.395
tenantB,31,1676.55,115.76,114.86,16493.81,4096,128,1782249883.313
tenantA,32,1646.21,115.76,114.86,16463.46,256,128,1782249883.344
tenantB,33,1934.24,115.9,115.01,16769.99,4096,128,1782249883.418
tenantB,34,1944.04,115.9,115.01,16779.83,4096,128,1782249883.408
tenantB,35,2643.47,113.17,112.29,17129.32,4096,128,1782249883.433
tenantB,36,2655.25,113.17,112.3,17141.49,4096,128,1782249883.421
tenantA,37,2635.36,113.17,112.3,17121.54,256,128,1782249883.441
tenantB,38,2590.02,116.02,115.12,17440.3,4096,128,1782249883.501
tenantA,39,2522.01,116.02,115.12,17372.75,256,128,1782249883.569
